# coordinate	name	kind	language	homepage	stars	updated	description
# Generated by "vise sync" from the Mason registry, mise registry and GitHub.
# Do not hand-edit; edits are lost on sync. Use catalog-overrides.tsv instead.
github:get-woke/woke	woke	linter	any	https://docs.getwoke.tech/	-	-	Detect non-inclusive language in your source code.
npm:write-good	write-good	linter	markdown	https://github.com/btford/write-good	5077	2025-03-10	Naive linter for English prose for developers who can't write good and wanna learn to do other stuff good too.
github:SolaWing/xcode-build-server	xcode-build-server	lsp	swift	https://github.com/SolaWing/xcode-build-server	989	2026-01-31	a build server protocol implementation for integrate xcode with sourcekit-lsp
pipx:xmlformatter	xmlformatter	formatter	xml	https://github.com/pamoller/xmlformatter	36	2026-05-06	xmlformatter is an Open Source Python package that provides formatting of XML documents. xmlformatter differs from others formatters by handling whitespaces by a distinct set of formatting rules - formatting element content by an object style and mixed content by a text style. You may find xmlformatter useful for corrections and presentations.
npm:yaml-language-server	yaml-language-server	lsp	yaml	https://github.com/redhat-developer/yaml-language-server	1503	2026-07-31	Language Server for YAML Files.
pipx:yamlfix	yamlfix	formatter	yaml	https://github.com/lyz-code/yamlfix	262	2025-12-18	A simple and configurable YAML formatter that keeps comments.
yamlfmt	yamlfmt	formatter	yaml	https://github.com/google/yamlfmt	1797	2026-07-30	yamlfmt is an extensible command line tool or library to format yaml files.
yamllint	yamllint	linter	yaml	https://github.com/adrienverge/yamllint	3440	2026-07-20	Linter for YAML files. yamllint does not only check for syntax validity, but for weirdnesses like key repetition and cosmetic problems such as lines length, trailing spaces, indentation, etc.
pipx:yapf	yapf	formatter	python	https://pypi.org/project/yapf/	-	-	YAPF, Yet Another Python Formatter.
pipx:yls-yara	yls-yara	lsp	yara	https://avast.github.io/yls/	-	-	Language server for the YARA language.
github:bbannier/zeek-language-server	zeek-language-server	lsp	zeek	https://github.com/bbannier/zeek-language-server	17	2026-08-01	This project implements a language server for Zeek script.
zizmor	zizmor	linter	yaml	https://github.com/zizmorcore/zizmor	5970	2026-08-02	Static analysis for GitHub Actions
github:zk-org/zk	zk	lsp	markdown	https://github.com/zk-org/zk	2742	2026-07-30	A plain text note-taking assistant.
aqua:zigtools/zls	zls	lsp	zig	https://github.com/zigtools/zls	5051	2026-07-21	Zig LSP implementation + Zig Language Server.
zprint	zprint	formatter	clojure,clojurescript	https://github.com/kkinnear/zprint	622	2025-05-14	Beautifully format Clojure and Clojurescript source code and s-expressions.
npm:zprint-clj	zprint-clj	formatter	clojure,clojurescript	https://github.com/clj-commons/zprint-clj	13	2021-06-10	Node.js wrapper for ZPrint Clojure source code formatter
pipx:zuban	zuban	linter,lsp	python	https://zubanls.com	-	-	Zuban is a high-performant Mypy-compatible LSP and type checker built in Rust.
